time,q1,q2,q3,q4,q5,q6,q7
28.2,1.2066,-0.139945,-0.0599086,1.4337,1.57598,0.647131,-1.56671
28.3,1.20812,-0.139622,-0.0583044,1.43012,1.58087,0.650274,-1.57314
28.4,1.20974,-0.139304,-0.0565966,1.42629,1.586,0.653636,-1.57994
28.5,1.21125,-0.139035,-0.0550078,1.4227,1.59071,0.656783,-1.5862
28.6,1.21278,-0.138788,-0.0534004,1.41903,1.59541,0.659983,-1.59249
28.7,1.21432,-0.138562,-0.051779,1.41532,1.6001,0.663229,-1.59878
28.8,1.21586,-0.13836,-0.05015,1.41155,1.60474,0.666507,-1.60506
28.9,1.21741,-0.138184,-0.0485167,1.40775,1.60934,0.669811,-1.61131
29,1.21905,-0.138024,-0.0467903,1.40371,1.61413,0.673322,-1.61786
29.1,1.22057,-0.137902,-0.0451924,1.39993,1.61851,0.67659,-1.62388
29.2,1.22211,-0.137804,-0.0435797,1.39609,1.62287,0.679905,-1.62991
29.3,1.22374,-0.137724,-0.0418659,1.39198,1.62745,0.683445,-1.63628
29.4,1.22526,-0.137679,-0.0402738,1.38813,1.63164,0.686753,-1.64215
29.5,1.2268,-0.137657,-0.0386648,1.38421,1.63582,0.690113,-1.64804
29.6,1.22835,-0.137659,-0.0370434,1.38023,1.63998,0.693517,-1.65394
29.7,1.22964,-0.137685,-0.0356938,1.37689,1.6434,0.696367,-1.65882
29.8,1.2305,-0.137717,-0.0348006,1.37466,1.64562,0.698265,-1.66203
29.9,1.23105,-0.137743,-0.0342404,1.37325,1.647,0.699465,-1.66402
