time,q1,q2,q3,q4,q5,q6,q7
23.5,1.06434,-0.180046,-0.0857839,1.61336,1.00841,0.497995,-0.949358
23.6,1.06687,-0.178481,-0.0854147,1.61115,1.01657,0.498377,-0.95831
23.7,1.06952,-0.176811,-0.0849858,1.60889,1.02511,0.498852,-0.967693
23.8,1.07182,-0.17535,-0.0845763,1.60691,1.03257,0.499322,-0.97591
23.9,1.07443,-0.173679,-0.0840764,1.60467,1.04103,0.499915,-0.98524
24,1.07683,-0.172143,-0.0835771,1.60257,1.04889,0.500516,-0.993924
24.1,1.07921,-0.170616,-0.0830453,1.60046,1.05674,0.501166,-1.00262
24.2,1.08158,-0.1691,-0.0824813,1.59832,1.0646,0.501863,-1.01132
24.3,1.08393,-0.167599,-0.081886,1.59616,1.07244,0.502606,-1.02003
24.4,1.08639,-0.166033,-0.0812272,1.59386,1.08072,0.503434,-1.02924
24.5,1.08866,-0.164604,-0.080583,1.59167,1.08841,0.504246,-1.03781
24.6,1.09104,-0.163105,-0.0798706,1.58933,1.09654,0.505151,-1.04688
24.7,1.09325,-0.161729,-0.0791747,1.58711,1.10414,0.50604,-1.05537
24.8,1.09546,-0.160357,-0.0784451,1.58486,1.11176,0.506979,-1.06391
24.9,1.09779,-0.158919,-0.0776408,1.58245,1.11983,0.508022,-1.07296
25,1.09994,-0.157603,-0.0768627,1.58015,1.12735,0.509034,-1.08142
25.1,1.10221,-0.156221,-0.0760068,1.57769,1.13532,0.510154,-1.09039
25.2,1.10431,-0.154953,-0.0751797,1.57535,1.14276,0.511241,-1.09879
25.3,1.10654,-0.153621,-0.0742715,1.57285,1.15065,0.512443,-1.1077
25.4,1.10871,-0.15233,-0.073347,1.57033,1.15842,0.51367,-1.11651
25.5,1.11074,-0.151141,-0.0724543,1.56793,1.1657,0.514861,-1.12477
25.6,1.11289,-0.149886,-0.0714741,1.56536,1.17344,0.516179,-1.13357
25.7,1.11489,-0.148732,-0.0705306,1.56291,1.18068,0.517452,-1.14182
25.8,1.1169,-0.147582,-0.0695532,1.56042,1.18796,0.518781,-1.15013
25.9,1.11891,-0.146441,-0.0685447,1.55788,1.19527,0.52016,-1.15849
26,1.12091,-0.145316,-0.0675086,1.5553,1.20258,0.521584,-1.16686
26.1,1.12302,-0.144149,-0.0663884,1.55255,1.21029,0.523131,-1.17571
26.2,1.12496,-0.143092,-0.065324,1.54993,1.21744,0.524604,-1.18395
26.3,1.12701,-0.141988,-0.0641726,1.54713,1.225,0.526208,-1.19266
26.4,1.12892,-0.140984,-0.0630745,1.54447,1.23204,0.527743,-1.20079
26.5,1.13082,-0.139988,-0.0619467,1.54178,1.23909,0.529332,-1.20896
26.6,1.13273,-0.139005,-0.0607916,1.53904,1.24615,0.530969,-1.21716
26.7,1.13463,-0.13804,-0.0596127,1.53627,1.25319,0.532649,-1.22535
26.8,1.13652,-0.137095,-0.0584125,1.53346,1.26022,0.534368,-1.23355
26.9,1.13851,-0.136121,-0.0571249,1.53046,1.2676,0.536223,-1.24217
27,1.14034,-0.135245,-0.0559105,1.52762,1.27444,0.537977,-1.25019
27.1,1.14228,-0.134336,-0.0546029,1.52458,1.28165,0.539879,-1.25865
27.2,1.14407,-0.133513,-0.0533653,1.52171,1.28834,0.541686,-1.26654
27.3,1.14597,-0.132656,-0.0520303,1.51863,1.29542,0.54365,-1.2749
27.4,1.14774,-0.131881,-0.0507662,1.51571,1.302,0.545518,-1.2827
27.5,1.14952,-0.131117,-0.0494744,1.51275,1.3086,0.547441,-1.29052
27.6,1.1512,-0.130408,-0.0482314,1.50991,1.31483,0.549303,-1.29793
27.7,1.15312,-0.129614,-0.0467933,1.50666,1.32189,0.551473,-1.30636
27.8,1.15488,-0.128913,-0.0454489,1.50358,1.32841,0.553507,-1.31416
27.9,1.15664,-0.128233,-0.0440883,1.50047,1.33489,0.555578,-1.32194
28,1.1585,-0.127536,-0.0426342,1.49716,1.3417,0.557804,-1.33013
28.1,1.16021,-0.126919,-0.0412696,1.49402,1.348,0.559901,-1.33774
28.2,1.16202,-0.126282,-0.0398077,1.49067,1.35463,0.562163,-1.34578
28.3,1.16371,-0.125716,-0.0384296,1.4875,1.36079,0.564306,-1.35326
28.4,1.16541,-0.125163,-0.0370272,1.48429,1.36695,0.566503,-1.36076
28.5,1.16711,-0.124626,-0.0356038,1.48103,1.3731,0.568746,-1.36827
28.6,1.16892,-0.124081,-0.034084,1.47755,1.37956,0.571156,-1.3762
28.7,1.17058,-0.123605,-0.0326599,1.47426,1.38554,0.573423,-1.38356
28.8,1.17226,-0.123144,-0.0312167,1.47092,1.39151,0.575735,-1.39092
28.9,1.17403,-0.122678,-0.0296734,1.46736,1.39778,0.578222,-1.3987
29,1.17577,-0.122252,-0.0281456,1.46381,1.40392,0.580696,-1.40633
29.1,1.1773,-0.121901,-0.0267868,1.46063,1.40931,0.582908,-1.41305
29.2,1.17907,-0.121505,-0.0252119,1.45697,1.41543,0.585492,-1.42072
29.3,1.18071,-0.121169,-0.0237338,1.45351,1.42111,0.587929,-1.42786
29.4,1.18236,-0.120851,-0.0222389,1.45,1.42676,0.590408,-1.435
29.5,1.18411,-0.120538,-0.0206448,1.44626,1.43271,0.593067,-1.44253
29.6,1.18572,-0.120278,-0.019154,1.44272,1.4382,0.595564,-1.44953
29.7,1.18738,-0.120042,-0.0176186,1.43904,1.44382,0.598145,-1.4567
29.8,1.18876,-0.119897,-0.0163249,1.43582,1.44857,0.600313,-1.46279
29.9,1.18996,-0.119826,-0.0151824,1.43284,1.45284,0.602215,-1.46827
